    2011-08-13      0.37
    2011-08-14      0.45
    2011-08-14     0.59
    2011-08-25      0.28
    2011-08-26      0.33
    2011-08-28      0.10
    2011-08-30      0.13
    2011-09-04     1.04
    2011-09-12     0.39
   2012-05-01     1.34
   2012-05-17      0.34
   2012-05-22     0.52
   2012-05-26      0.37
   2012-06-02     0.51
   2012-06-02      0.38
   2012-06-02      0.28
   2012-06-07     2.35
   2012-06-09     0.59
   2012-06-16     0.59
   2012-06-17     0.42
   2012-06-18     0.57
   2012-06-22     1.16
   2012-06-23     0.54
   2012-06-26     1.09
   2012-06-28     1.13
   2012-06-29      0.46
   2012-06-30     1.47
