    2011-08-13   112
    2011-08-14   107     
    2011-08-14   23
    2011-08-25   39
    2011-08-26   33
    2011-08-28   7
    2011-08-30   4  
    2011-09-04   38
    2011-09-12   196
   2012-05-01  181
   2012-05-17   75
   2012-05-22   104
   2012-05-26   86
   2012-06-02   163
   2012-06-02   402
   2012-06-02   22
   2012-06-07  446
   2012-06-09   157
   2012-06-16   143
   2012-06-17   176
   2012-06-18   154
   2012-06-22   252
   2012-06-23   156
   2012-06-26   292
   2012-06-28   242
   2012-06-29   111    
   2012-06-30   379
